codigo,descricao,cod_descricao
6039,Pis,6039:Pis
10486,Uso,10486:Uso
1844,Ctps,1844:Ctps
3426,Dano,3426:Dano
11145,Dano,11145:Dano
10570,Fgts,10570:Fgts
12844,Fies,12844:Fies
3386,Leve,3386:Leve
9642,Leve,9642:Leve
10847,Leve,10847:Leve
10269,Luto,10269:Luto
12542,Real,12542:Real
12546,Real,12546:Real
3393,Rixa,3393:Rixa
12803,Vaga,12803:Vaga
2583,Abono,2583:Abono
11717,Abuso,11717:Abuso
6199,Asilo,6199:Asilo
12813,Enade,12813:Enade
10114,Fauna,10114:Fauna
10113,Flora,10113:Flora
11147,Furto,11147:Furto
5556,Grave,5556:Grave
9644,Grave,9644:Grave
10848,Grave,10848:Grave
12888,Greve,12888:Greve
11947,Idoso,11947:Idoso
10684,Juros,10684:Juros
10493,Legal,10493:Legal
4680,Marca,4680:Marca
10830,Motim,10830:Motim
11289,Motim,11289:Motim
10595,Multa,10595:Multa
6042,Pasep,6042:Pasep
6194,Perda,6194:Perda
12570,Perda,12570:Perda
10444,Posse,10444:Posse
9060,Prazo,9060:Prazo
10832,Roubo,10832:Roubo
11160,Roubo,11160:Roubo
7646,Rural,7646:Rural
10569,Rural,10569:Rural
5956,Taxas,5956:Taxas
12471,Unaí,12471:Unaí
11150,Usura,11150:Usura
8928, Prazo,8928: Prazo
10915,Aborto,10915:Aborto
11987,Aborto,11987:Aborto
12795,Acesso,12795:Acesso
5592,Avaria,5592:Avaria
11628,Cargos,11628:Cargos
10150,Cartel,10150:Cartel
3624,Caça ,3624:Caça 
4970,Cheque,4970:Cheque
9537,Cisão,9537:Cisão
6035,Cofins,6035:Cofins
10432,Coisas,10432:Coisas
11692,Contas,11692:Contas
10658,Custas,10658:Custas
11356,Desvio,11356:Desvio
10388,Edital,10388:Edital
11930,Fraude,11930:Fraude
11817,Fundos,11817:Fundos
3416,Furto ,3416:Furto 
11163,Furto ,11163:Furto 
9536,Fusão,9536:Fusão
9550,Fusão,9550:Fusão
5802,Guarda,5802:Guarda
12507,Mental,12507:Mental
9603,Mútuo,9603:Mútuo
6238,Oferta,6238:Oferta
11784,Oitiva,11784:Oitiva
12909,Outras,12909:Outras
12846,Outros,12846:Outros
12890,Outros,12890:Outros
12901,Outros,12901:Outros
12904,Outros,12904:Outros
12905,Outros,12905:Outros
12907,Outros,12907:Outros
10488,Penhor,10488:Penhor
3627,Pesca ,3627:Pesca 
10769,Pleito,10769:Pleito
12845,Prouni,12845:Prouni
8990,Provas,8990:Provas
10925,Provas,10925:Provas
10325,Regime,10325:Regime
3419,Roubo ,3419:Roubo 
10064,Saúde,10064:Saúde
4847,Seguro,4847:Seguro
7621,Seguro,7621:Seguro
9597,Seguro,9597:Seguro
12235,Tutela,12235:Tutela
11253,Ameaça,11253:Ameaça
2657,Anistia,2657:Anistia
5996,Anistia,5996:Anistia
10625,Anistia,10625:Anistia
10783,Anistia,10783:Anistia
11100,Anistia,11100:Anistia
10772,Aumento,10772:Aumento
3479,Bigamia,3479:Bigamia
9761,Bigamia,9761:Bigamia
11936,Cessão,11936:Cessão
4728,Câmbio,4728:Câmbio
8884,Do Juiz,8884:Do Juiz
9047,Efeitos,9047:Efeitos
10766,Eleitor,10766:Eleitor
12502,Eletiva,12502:Eletiva
12365,Enquete,12365:Enquete
11251,Estupro,11251:Estupro
12870,Faltas ,12870:Faltas 
4310,Fiança,4310:Fiança
9592,Fiança,9592:Fiança
12499,Fraldas,12499:Fraldas
2662,Férias,2662:Férias
10301,Férias,10301:Férias
10339,Férias,10339:Férias
