codigo,descricao,sigla,cod_descricao
1000,Agravo,Ag,1000:Agravo
1420,Guarda,Guarda,1420:Guarda
200,Agravos,Agr,200:Agravos
1209,Agravos,Ag,1209:Agravos
409,Anistia,Anisti,409:Anistia
80,Avarias,Avaria,80:Avarias
92,Despejo,Despej,92:Despejo
100,Dúvida,Duvida,100:Dúvida
410,Indulto,Indult,410:Indulto
12562,Pet-Adm,PET-ADM,12562:Pet-Adm
1401,Adoção,Adocao,1401:Adoção
178,Arresto ,Arrest,178:Arresto 
180,Atentado,Atent,180:Atentado
182,Caução,Cauçao,182:Caução
11551,Consulta,CtaEl,11551:Consulta
12234,Curatela,Cur,12234:Curatela
191,Protesto,Protes,191:Protesto
12228,Protesto,Protes,12228:Protesto
1364,Denúncia,Den,1364:Denúncia
35,Depósito,Deposi,35:Depósito
1333,Inquerito,Inq,1333:Inquerito
304,Liberdade,Liberd,304:Liberdade
1057,Petição,Pet,1057:Petição
1338,Petição,Pet,1338:Petição
12127,Remição,Rem,12127:Remição
142,Sonegados,Sonega,142:Sonegados
11894, Comissão,Comissão,11894: Comissão
11043,Deserção,Des,11043:Deserção
224,Exceções,Exceco,224:Exceções
186,Exibição,Exibic,186:Exibição
1042,Inquérito,Inq,1042:Inquérito
1304,Inspeção,Insp,1304:Inspeção
40,Monitória,Monito,40:Monitória
236,Oposição,Oposic,236:Oposição
12783,Oposição,Ops,12783:Oposição
196,Seqüestro,Seques,196:Seqüestro
329,Seqüestro,Seques,329:Seqüestro
49,Usucapião,Usucap,49:Usucapião
238,Avocatória,Avocat,238:Avocatória
11542,Correição,Cor,11542:Correição
11544,Instrução,Inst,11544:Instrução
39,Inventário,Invent,39:Inventário
1265,Precatório,Precat,1265:Precatório
1677,Precatório,Prc,1677:Precatório
1330,Extradição,Ext,1330:Extradição
11044,Insubmissão,Insub,11044:Insubmissão
58,Interdição,Interd,58:Interdição
1377,Queixa Crime,QC,1377:Queixa Crime
1028,Sindicância,SD,1028:Sindicância
1308,Sindicância,Sind,1308:Sindicância
1472,Advertência ,Advert,1472:Advertência 
11888,Ato Normativo,Ato,11888:Ato Normativo
242,Comunicação,Cm,242:Comunicação
1325,Comunicação,Cm,1325:Comunicação
1671,Comunicação,Com,1671:Comunicação
1415,Emancipação,Emanci,1415:Emancipação
1331,Habeas Corpus,HC,1331:Habeas Corpus
1720,Habeas Corpus,HC,1720:Habeas Corpus
38,Habilitação,Habili,38:Habilitação
11889,Nota Técnica,NT,11889:Nota Técnica
1373,Notificação,Not,1373:Notificação
1725,Notificação,Notif,1725:Notificação
12226,Notificação,Notif,12226:Notificação
1424,Providência ,Prov,1424:Providência 
1468,Semiliberdade,Semili,1468:Semiliberdade
48,Sobrepartilha,Sobrep,48:Sobrepartilha
12233,Tutela Cível,TutCiv,12233:Tutela Cível
1319,Agravo Interno,AgIn,1319:Agravo Interno
66,Ação Popular,APop,66:Ação Popular
12082,Carta Arbitral,CartArb,12082:Carta Arbitral
1371,Interpelação,Int,1371:Interpelação
1726,Interpelação,Inter,1726:Interpelação
12227,Interpelação,Interp,12227:Interpelação
190,Justificação,Justif,190:Justificação
270,Notícia-Crime,Notici,270:Notícia-Crime
1375,Processo Crime,PC,1375:Processo Crime
1291,Reabilitação,Reabil,1291:Reabilitação
1385,Seção Cível,SecCiv,1385:Seção Cível
12121,Auto De Prisão,APri,12121:Auto De Prisão
1311,Ação Cautelar,AC,1311:Ação Cautelar
12061,Ação Cautelar,AC,12061:Ação Cautelar
83,Cautelar Fiscal,CauFis,83:Cautelar Fiscal
274,Interpelações,Interp,274:Interpelações
11545,Lista Tríplice,LT,11545:Lista Tríplice
1062,Medida Cautelar,MC,1062:Medida Cautelar
1337,Medida Cautelar,MC,1337:Medida Cautelar
121,Naturalização,Natura,121:Naturalização
12123,Roteiro De Pena,RPen,12123:Roteiro De Pena
1295,Alvará Judicial,Alvará,1295:Alvará Judicial
1047,Carta Rogatória,Rog,1047:Carta Rogatória
1324,Carta Rogatória,Rogato,1324:Carta Rogatória
90,Desapropriação,Desapr,90:Desapropriação
96,Discriminatória,Discri,96:Discriminatória
57,Herança Jacente,HerJac,57:Herança Jacente
241,Petição Cível,PetCiv,241:Petição Cível
11028,Processo Militar,ProcMil,11028:Processo Militar
1343,Recurso Criminal,RC,1343:Recurso Criminal
1267,Recurso De Multa,RM,1267:Recurso De Multa
213,Recurso Especial,REsp,213:Recurso Especial
1032,Recurso Especial,REsp,1032:Recurso Especial
