codigo,descricao,cod_descricao
12278,Fim,12278:Fim
12279,Fim,12279:Fim
12169,Paga,12169:Paga
12176,Paga,12176:Paga
12103,Pauta,12103:Pauta
12310,Pauta,12310:Pauta
12203,Adiado,12203:Adiado
479,Custas,479:Custas
392,Libelo,392:Libelo
803,Libelo,803:Libelo
12306,Perito,12306:Perito
393,Queixa,393:Queixa
404,Queixa,404:Queixa
12302,Curador,12302:Curador
11554,Indulto,11554:Indulto
12747,Inicial,12747:Inicial
12277,Início,12277:Início
12199,Julgado,12199:Julgado
67,Juntada,67:Juntada
339,Liminar,339:Liminar
348,Liminar,348:Liminar
792,Liminar,792:Liminar
892,Liminar,892:Liminar
12201,Liminar,12201:Liminar
12207,Liminar,12207:Liminar
12209,Liminar,12209:Liminar
12211,Liminar,12211:Liminar
106,Mandado,106:Mandado
985,Mandado,985:Mandado
12200,Mérito,12200:Mérito
112,Ofício,112:Ofício
987,Ofício,987:Ofício
12608,Parcial,12608:Parcial
12609,Parcial,12609:Parcial
12610,Parcial,12610:Parcial
12611,Parcial,12611:Parcial
12321,Parecer,12321:Parecer
128,Prisão,128:Prisão
381,Recurso,381:Recurso
804,Recurso,804:Recurso
1060,Recurso,1060:Recurso
123,Remessa,123:Remessa
978,Remessa,978:Remessa
980,Remessa,980:Remessa
982,Remessa,982:Remessa
12326,Consulta,12326:Consulta
15,Contador,15:Contador
16,Cálculo,16:Cálculo
3,Decisão,3:Decisão
12529,Decisão,12529:Decisão
11009,Despacho,11009:Despacho
12525,Mediador,12525:Mediador
12296,Registro,12296:Registro
12309,Retirada,12309:Retirada
12205,Retirado,12205:Retirado
11393,Sanção,11393:Sanção
481,Tributos,481:Tributos
206,Admissão,206:Admissão
354,Alimentos,354:Alimentos
12170,Cancelada,12170:Cancelada
12177,Cancelada,12177:Cancelada
12284,Citação,12284:Citação
391,Denúncia,391:Denúncia
402,Denúncia,402:Denúncia
581,Documento,581:Documento
12270,Documento,12270:Documento
12431,Embargos ,12431:Embargos 
12032,Exequatur,12032:Exequatur
12034,Exequatur,12034:Exequatur
12447,Pagamento,12447:Pagamento
85,Petição,85:Petição
12271,Petição,12271:Petição
1003,Remição,1003:Remição
12617,Renúncia,12617:Renúncia
12432,Afetação,12432:Afetação
865,Arquivista,865:Arquivista
970,Audiência,970:Audiência
210,Concessão,210:Concessão
817,Concessão,817:Concessão
11023,Concessão,11023:Concessão
51,Conclusão,51:Conclusão
12266,Confirmada,12266:Confirmada
12283,Confirmada,12283:Confirmada
12288,Confirmada,12288:Confirmada
7,Conversão,7:Conversão
11021,Conversão,11021:Conversão
824,Definitiva,824:Definitiva
246,Definitivo,246:Definitivo
12147,Domiciliar,12147:Domiciliar
456,Extinção,456:Extinção
12322,Favorável,12322:Favorável
12531,Frutífera,12531:Frutífera
12533,Frutífera,12533:Frutífera
12535,Frutífera,12535:Frutífera
12540,Frutífera,12540:Frutífera
12524,Juiz Leigo,12524:Juiz Leigo
193,Julgamento,193:Julgamento
1,Magistrado,1:Magistrado
12527,Mediação,12527:Mediação
12300,Nomeação,12300:Nomeação
12753,Preliminar,12753:Preliminar
353,Preventiva,353:Preventiva
358,Preventiva,358:Preventiva
10953,Pronúncia,10953:Pronúncia
237,Provimento,237:Provimento
138,Rejeição,138:Rejeição
12327,Respondida,12327:Respondida
12178,Retificada,12178:Retificada
12171,Retificado,12171:Retificado
12275,Retificado,12275:Retificado
442,Segurança,442:Segurança
446,Segurança,446:Segurança
450,Segurança,450:Segurança
12274,Sobrestado,12274:Sobrestado
12172,Suspensão,12172:Suspensão
12179,Suspensão,12179:Suspensão
135,Apensamento,135:Apensamento
12523,Conciliador,12523:Conciliador
12444,Deferimento,12444:Deferimento
212,Denegação,212:Denegação
105,Devolução,105:Devolução
12264,Eletrônica,12264:Eletrônica
12286,Eletrônica,12286:Eletrônica
444,Habeas Data,444:Habeas Data
448,Habeas Data,448:Habeas Data
452,Habeas Data,452:Habeas Data
12150,Impedimento,12150:Impedimento
12263,Intimação,12263:Intimação
12166,Precatório,12166:Precatório
12459,Prejudicado,12459:Prejudicado
823,Provisória,823:Provisória
245,Provisório,245:Provisório
115,Recebimento,115:Recebimento
132,Recebimento,132:Recebimento
160,Recebimento,160:Recebimento
977,Recebimento,977:Recebimento
979,Recebimento,979:Recebimento
981,Recebimento,981:Recebimento
157,Revogação,157:Revogação
12151,Suspeição,12151:Suspeição
352,Temporária,352:Temporária
357,Temporária,357:Temporária
12739,Admonitória,12739:Admonitória
228,Arquivamento,228:Arquivamento
861,Arquivamento,861:Arquivamento
12430,Arquivamento,12430:Arquivamento
12289,Cancelamento,12289:Cancelamento
12256,Continência,12256:Continência
12742,De Custódia,12742:De Custódia
11,Declaração,11:Declaração
463,Desistência,463:Desistência
1053,Destinação,1053:Destinação
18,Distribuidor,18:Distribuidor
275,Força Maior,275:Força Maior
10961,Impronúncia,10961:Impronúncia
12532,Infrutífera,12532:Infrutífera
12534,Infrutífera,12534:Infrutífera
12536,Infrutífera,12536:Infrutífera
12538,Infrutífera,12538:Infrutífera
12539,Infrutífera,12539:Infrutífera
